symbol,hull,kj,snkb,sl,tp,n,wr,pf,ret,dd,final
XRP,8,24,40,6.0,20.0,511,35.0,1.32,345.1,-39.0,445.1
SPK,8,60,52,10.0,,96,39.6,2.32,344.3,-19.4,444.29999999999995
BROCCOLI,16,48,26,5.0,,83,41.0,1.71,343.6,-38.8,443.6
STG,16,60,26,6.0,12.0,232,40.1,1.46,331.7,-45.2,431.70000000000005
PLUME,8,60,52,3.0,10.0,99,41.4,1.47,329.8,-47.5,429.8
SPK,8,60,26,10.0,,101,40.6,2.2,323.8,-20.0,423.79999999999995
MUBARAK,10,24,26,5.0,12.0,149,39.6,1.22,318.2,-51.7,418.20000000000005
PEAQ,16,24,52,4.0,12.0,142,37.3,1.31,316.3,-51.9,416.3
SPK,8,60,40,10.0,,102,39.2,2.15,308.6,-22.9,408.6
SPK,8,36,40,10.0,,111,36.9,2.16,308.0,-23.2,408.0
POPCAT,16,60,52,5.0,20.0,95,40.0,1.34,305.4,-38.2,405.40000000000003
MUBARAK,10,24,26,6.0,20.0,146,39.0,1.28,302.3,-43.8,402.29999999999995
RSR,10,60,52,8.0,5.0,196,48.5,1.78,298.2,-25.3,398.2
SKL,16,48,40,10.0,20.0,221,43.4,1.35,296.1,-42.2,396.1
SKL,12,48,26,10.0,,262,39.3,1.36,295.7,-42.7,395.7
AXS,10,48,26,10.0,,342,40.1,1.41,294.4,-31.1,394.4
YGG,10,48,26,10.0,20.0,246,41.1,1.39,294.2,-19.9,394.2
AKT,8,60,52,6.0,8.0,180,41.7,1.62,289.6,-27.0,389.6
ATOM,12,60,26,6.0,20.0,290,41.4,1.43,284.5,-24.8,384.5
AXS,10,60,40,8.0,,294,41.2,1.36,281.4,-33.8,381.4
AXS,10,48,52,10.0,,297,39.7,1.44,279.8,-30.7,379.8
ATOM,12,60,26,6.0,,290,41.4,1.42,270.2,-24.8,370.2
XRP,8,60,40,6.0,5.0,480,37.3,1.32,270.2,-31.6,370.2
AXS,10,48,40,10.0,,324,40.4,1.38,268.0,-31.4,368.0
XRP,8,24,40,8.0,,511,35.0,1.34,258.1,-34.3,358.1
MUBARAK,10,24,26,6.0,12.0,147,40.1,1.26,255.7,-43.8,355.7
AXS,10,60,52,8.0,,270,40.4,1.38,253.5,-32.6,353.5
YGG,8,48,26,10.0,8.0,295,43.1,1.41,253.5,-20.0,353.5
PEAQ,16,48,52,4.0,12.0,76,39.5,1.73,246.3,-41.9,346.3
MUBARAK,10,24,26,5.0,15.0,149,38.9,1.2,245.5,-51.7,345.5
BROCCOLI,16,48,40,6.0,,81,40.7,1.72,242.2,-36.6,342.2
PEAQ,16,48,52,5.0,12.0,73,42.5,1.87,241.2,-33.0,341.2
XRP,8,24,52,8.0,,487,34.5,1.32,237.9,-32.4,337.9
PLUME,8,60,52,3.0,8.0,100,41.0,1.39,234.2,-47.6,334.2
PEAQ,16,24,52,6.0,12.0,136,40.4,1.37,233.8,-28.1,333.8
XRP,8,24,40,8.0,20.0,511,35.0,1.33,232.7,-27.4,332.7
POPCAT,16,60,40,4.0,20.0,105,36.2,1.24,231.3,-46.7,331.3
DYDX,8,60,52,5.0,20.0,265,38.5,1.29,226.0,-51.0,326.0
YGG,16,48,52,10.0,20.0,179,37.4,1.44,225.7,-26.0,325.7
YGG,10,48,26,10.0,15.0,246,41.1,1.36,223.1,-21.1,323.09999999999997
YGG,8,48,26,10.0,20.0,291,41.2,1.36,222.3,-25.3,322.3
MUBARAK,10,24,26,5.0,20.0,149,37.6,1.2,220.9,-51.7,320.90000000000003
DYDX,10,48,40,6.0,20.0,288,41.7,1.31,220.8,-51.7,320.8
MUBARAK,10,24,52,6.0,20.0,126,38.9,1.25,219.9,-39.5,319.9
POPCAT,16,60,52,4.0,,97,38.1,1.22,215.0,-46.2,315.0
PLUME,16,60,52,4.0,20.0,66,40.9,1.57,212.2,-33.3,312.2
